,Date,Open,High,Low,Close,Volume
51,2022-03-28,172.1700,175.7300,172.0000,175.6000,90371916
52,2022-03-25,173.8800,175.2800,172.7500,174.7200,80281664
53,2022-03-24,171.0600,174.1400,170.2100,174.0700,90131418
54,2022-03-23,167.9900,172.6400,167.6500,170.2100,98062674
55,2022-03-22,165.5100,169.4200,164.9100,168.8200,80979755
56,2022-03-21,163.5100,166.3500,163.0150,165.3800,89029269
57,2022-03-18,160.5100,164.4800,159.7600,163.9800,122055535
58,2022-03-17,158.6100,161.0000,157.6300,160.6200,75615376
59,2022-03-16,157.0500,160.0000,154.4600,159.5900,102300157
60,2022-03-15,150.9000,155.5700,150.3800,155.0900,92964302
61,2022-03-14,151.4500,154.1200,150.1000,150.6200,108732111
62,2022-03-11,158.9300,159.2800,154.5000,154.7300,96970102
63,2022-03-10,160.2000,160.3900,155.9800,158.5200,105342033
64,2022-03-09,161.4750,163.4100,159.4100,162.9500,91454905
65,2022-03-08,158.8200,162.8800,155.8000,157.4400,131148280
66,2022-03-07,163.3600,165.0200,159.0400,159.3000,96418845
67,2022-03-04,164.4900,165.5500,162.1000,163.1700,83819592
68,2022-03-03,168.4700,168.9100,165.5500,166.2300,76678441
69,2022-03-02,164.3900,167.3600,162.9500,166.5600,79724750
70,2022-03-01,164.6950,166.6000,161.9700,163.2000,83474425
71,2022-02-28,163.0600,165.4200,162.4300,165.1200,95056629
72,2022-02-25,163.8400,165.1200,160.8738,164.8500,91974222
73,2022-02-24,152.5800,162.8500,152.0000,162.7400,141147540
74,2022-02-23,165.5400,166.1500,159.7500,160.0700,90009247
75,2022-02-22,164.9800,166.6900,162.1500,164.3200,90457637
76,2022-02-18,169.8200,170.5413,166.1900,167.3000,82772674
77,2022-02-17,171.0300,171.9100,168.4700,168.8800,69589344
78,2022-02-16,171.8500,173.3400,170.0500,172.5500,61177398
79,2022-02-15,170.9700,172.9500,170.2500,172.7900,64286320
80,2022-02-14,167.3700,169.5800,166.5600,168.8800,86185530
81,2022-02-11,172.3300,173.0800,168.0400,168.6400,98670687
82,2022-02-10,174.1400,175.4800,171.5500,172.1200,90865899
83,2022-02-09,176.0500,176.6500,174.9000,176.2800,71285038
84,2022-02-08,171.7300,175.3500,171.4300,174.8300,74829217
85,2022-02-07,172.8600,173.9458,170.9500,171.6600,77251204
86,2022-02-04,171.6800,174.1000,170.6800,172.3900,82465400
87,2022-02-03,174.4800,176.2399,172.1200,172.9000,89418074
88,2022-02-02,174.7450,175.8800,173.3300,175.8400,84914256
89,2022-02-01,174.0100,174.8400,172.3100,174.6100,86213911
90,2022-01-31,170.1600,175.0000,169.5100,174.7800,115541590
91,2022-01-28,165.7100,170.3500,162.8000,170.3300,179935660
92,2022-01-27,162.4500,163.8400,158.2800,159.2200,121954638
93,2022-01-26,163.5000,164.3894,157.8200,159.6900,108275308
94,2022-01-25,158.9800,162.7600,157.0200,159.7800,115798367
95,2022-01-24,160.0200,162.3000,154.7000,161.6200,162706686
96,2022-01-21,164.4150,166.3300,162.3000,162.4100,122848858
97,2022-01-20,166.9800,169.6800,164.1800,164.5100,91420515
98,2022-01-19,170.0000,171.0800,165.9400,166.2300,92914792
99,2022-01-18,171.5100,172.5400,169.4050,169.8000,90500236
